id,naslov,zbirka,id_avtorja,avtor,ocena,stevilo_ocen,glasovi,format,stevilo_strani,leto,jezik,zanr
38447,The Handmaid's Tale,The Handmaid's Tale,3472,Margaret Atwood,4.12,1652895,5101,Paperback,314,1998,English,Fiction
4981,Slaughterhouse-Five,,2778055,Kurt Vonnegut Jr.,4.08,1214957,5025,Paperback,275,1999,English,Classics
3636,The Giver,The Giver,2493,Lois Lowry,4.13,2002174,4999,Paperback,208,2006,English,Young Adult
44767458,Dune,Dune,58,Frank Herbert,4.24,949605,4695,Hardcover,688,2019,English,Science Fiction
1934,Little Women,,1315,Louisa May Alcott,4.11,1847407,4842,Paperback,449,2004,English,Classics
136251,Harry Potter and the Deathly Hallows,Harry Potter,1077326,J.K. Rowling,4.61,3107486,4631,Hardcover,759,2007,English,Fantasy
168668,Catch-22,,3167,Joseph Heller,3.98,766306,4545,Paperback,453,2004,English,Classics
149267,The Stand,,3389,Stephen King,4.33,678068,4417,Hardcover,1152,1990,English,Horror
5043,The Pillars of the Earth,Kingsbridge,3447,Ken Follett,4.32,693871,4347,Paperback,976,2002,English,Historical
3590,The Adventures of Sherlock Holmes,Sherlock Holmes,2448,Arthur Conan Doyle,4.29,268165,4388,Paperback,389,1998,English,Classics
76620,Watership Down,Watership Down,7717,Richard  Adams,4.06,455579,4182,Mass Market Paperback,478,1975,English,Classics
2623,Great Expectations,,239579,Charles Dickens,3.78,704313,4346,Paperback,544,1998,English,Classics
6514,The Bell Jar,,4379,Sylvia Plath,4.02,677598,4131,Paperback,294,2006,English,Classics
39988,Matilda,,4273,Roald Dahl,4.32,750444,4163,Paperback,240,1998,English,Childrens
15823480,Anna Karenina,,128382,Leo Tolstoy,4.06,727853,4034,Paperback,964,2012,English,Classics
3263607,The Fellowship of the Ring,The Lord of the Rings,656983,J.R.R. Tolkien,4.37,2516924,4131,Mass Market Paperback,527,1973,English,Fantasy
332613,One Flew Over the Cuckoo's Nest,,7285,Ken Kesey,4.19,673651,4077,Mass Market Paperback,325,1963,English,Classics
10964,Outlander,Outlander,3617,Diana Gabaldon,4.23,911512,3834,Mass Market Paperback,850,2005,English,Historical
2429135,The Girl with the Dragon Tattoo,Millennium,706255,Stieg Larsson,4.15,2829689,3960,Hardcover,480,2008,English,Fiction
17899948,Rebecca,,2001717,Daphne du Maurier,4.23,523265,3926,ebook,449,2013,English,Classics
10917,My Sister's Keeper,,7128,Jodi Picoult,4.08,1113080,3842,Paperback,423,2005,English,Fiction
52892857,The Color Purple,,7380,Alice Walker,4.24,573397,3831,Paperback,304,2019,English,Classics
5,Harry Potter and the Prisoner of Azkaban,Harry Potter,1077326,J.K. Rowling,4.57,3217595,3631,Mass Market Paperback,435,2004,English,Fantasy
14891,A Tree Grows in Brooklyn,,2327917,Betty  Smith,4.28,413560,3507,Paperback,496,2006,English,Classics
4934,The Brothers Karamazov,,3137322,Fyodor Dostoevsky,4.32,270982,3473,Paperback,796,2002,English,Classics
41817486,A Clockwork Orange,,5735,Anthony Burgess,3.99,652594,3528,Paperback,213,2019,English,Classics
6288,The Road,,4178,Cormac McCarthy,3.97,781272,3386,Hardcover,241,2006,English,Fiction
40961427,1984,,3706,George Orwell,4.19,3591245,3204,Kindle Edition,298,1949,English,Classics
252577,Angela's Ashes,Frank McCourt,3347,Frank McCourt,4.12,577299,3303,Paperback,452,2005,English,Nonfiction
345627,Vampire Academy,Vampire Academy,137902,Richelle Mead,4.11,601816,3101,Paperback,332,2007,English,Young Adult
52036,Siddhartha,,1113469,Hermann Hesse,4.04,644587,3185,Mass Market Paperback,152,1981,English,Classics
7244,The Poisonwood Bible,,3541,Barbara Kingsolver,4.07,688449,3039,Hardcover,546,2005,English,Fiction
119322,The Golden Compass,His Dark Materials,3618,Philip Pullman,4.0,1381510,3087,Hardcover,399,1996,English,Fantasy
3836,Don Quixote,,4037220,Miguel de Cervantes Saavedra,3.88,232461,3019,Paperback,1023,2003,English,Novels
662,Atlas Shrugged,,432,Ayn Rand,3.69,369752,2785,Paperback,1078,1999,English,Fiction
2165,The Old Man and the Sea,,1455,Ernest Hemingway,3.79,929188,2877,Hardcover,96,1996,English,Classics
33648131,The Notebook,The Notebook,2345,Nicholas Sparks,4.12,1440912,2695,Kindle Edition,227,2000,English,Romance
99107,Winnie-the-Pooh,Winnie-the-Pooh,81466,A.A. Milne,4.31,298455,2751,Hardcover,161,2001,English,Classics
23919,The Complete Stories and Poems,,4624490,Edgar Allan Poe,4.37,237390,2684,Hardcover,821,1984,English,Classics
43763,Interview with the Vampire,The Vampire Chronicles,7577,Anne Rice,4.0,521197,2493,Paperback,342,2004,English,Horror
4473,A Prayer for Owen Meany,,3075,John Irving,4.23,297282,2330,Paperback,637,1990,English,Fiction
153747,"Moby-Dick or, the Whale",,1624,Herman Melville,3.52,504374,2382,Paperback,654,2003,English,Classics
6,Harry Potter and the Goblet of Fire,Harry Potter,1077326,J.K. Rowling,4.56,2902957,2324,Paperback,734,2002,English,Fantasy
1,Harry Potter and the Half-Blood Prince,Harry Potter,1077326,J.K. Rowling,4.57,2710845,2152,Paperback,652,2006,English,Fantasy
7171637,Clockwork Angel,The Infernal Devices,150038,Cassandra Clare,4.3,753630,2014,Hardcover,479,2010,English,Fantasy
37435,The Secret Life of Bees,,4711,Sue Monk Kidd,4.07,1181142,2094,Paperback,302,2003,English,Fiction
4989,The Red Tent,,626222,Anita Diamant,4.18,549237,2045,Hardcover,324,1997,English,Historical
16299,And Then There Were None,,123715,Agatha Christie,4.26,989365,2054,Paperback,264,2004,English,Mystery
49552,The Stranger,,957894,Albert Camus,3.99,807939,1896,Paperback,123,1989,English,Classics
11588,The Shining,,3389,Stephen King,4.24,1246406,1883,Paperback,659,1980,English,Horror
186074,The Name of the Wind,The Kingkiller Chronicle,108424,Patrick Rothfuss,4.51,802157,1692,Hardcover,662,2007,English,Fantasy
117833,The Master and Margarita,,3873,Mikhail Bulgakov,4.28,276068,1737,Paperback,372,1996,English,Classics
2187,Middlesex,,1467,Jeffrey Eugenides,4.01,607793,1774,Paperback,529,2003,English,Fiction
24583,The Adventures of Tom Sawyer,,1244,Mark Twain,3.92,820829,1855,Paperback,244,2006,English,Classics
113436,Eragon,The Inheritance Cycle,8349,Christopher Paolini,3.92,1555093,1721,Paperback,503,2005,English,Fantasy
36576608,Flowers for Algernon,,11072,Daniel Keyes,4.16,535348,1744,Paperback,216,1959,English,Fiction
485894,The Metamorphosis,,5223,Franz Kafka,3.83,744818,1751,Paperback,201,1972,English,Classics
15881,Harry Potter and the Chamber of Secrets,Harry Potter,1077326,J.K. Rowling,4.43,3083909,1771,Hardcover,341,1999,English,Fantasy
6310,Charlie and the Chocolate Factory,Charlie Bucket,4273,Roald Dahl,4.14,735891,1764,Paperback,176,2005,English,Childrens
99561,Looking for Alaska,,1406384,John Green,4.0,1268192,1602,Paperback,221,2006,English,Young Adult
1618,The Curious Incident of the Dog in the Night-Time,,1050,Mark Haddon,3.89,1303607,1662,Paperback,226,2004,English,Fiction
1232,The Shadow of the Wind,The Cemetery of Forgotten Books,815,Carlos Ruiz Zafón,4.27,531539,1583,Paperback,487,2005,English,Fiction
70401,On the Road,,1742,Jack Kerouac,3.62,373879,1617,Paperback,307,1976,English,Classics
4948,The Very Hungry Caterpillar,,3362,Eric Carle,4.29,438568,1658,Board book,26,1994,English,Childrens
6900,Tuesdays with Morrie,,2331,Mitch Albom,4.12,855772,1608,Paperback,210,2000,English,Nonfiction
9717,The Unbearable Lightness of Being,,6343,Milan Kundera,4.1,379536,1566,Paperback,320,2009,English,Fiction
119073,The Name of the Rose,,1730,Umberto Eco,4.13,329229,1579,Paperback,536,1994,English,Fiction
10365,Where the Red Fern Grows,,6810,Wilson Rawls,4.08,367907,1562,Mass Market Paperback,272,2000,English,Classics
22034,The Godfather,The Godfather,12605,Mario Puzo,4.35,369467,1568,Paperback,448,2002,English,Fiction
12296,The Scarlet Letter,,7799,Nathaniel Hawthorne,3.42,758091,1632,Paperback,279,2003,English,Classics
168642,In Cold Blood,,431149,Truman Capote,4.06,587277,1554,Paperback,343,1994,English,Nonfiction
7126,The Count of Monte Cristo,,4785,Alexandre Dumas,4.26,804005,1495,Paperback,1276,2003,English,Classics
4556058,The Last Olympian,Percy Jackson and the Olympians,15872,Rick Riordan,4.5,775095,1479,Hardcover,381,2009,English,Fantasy
36236124,Fight Club,,2546,Chuck Palahniuk,4.18,536846,1488,Paperback,224,2018,English,Fiction
3431,The Five People You Meet in Heaven,,2331,Mitch Albom,3.95,623489,1483,Paperback,196,2003,English,Fiction
100915,"The Lion, the Witch and the Wardrobe",Chronicles of Narnia,1069006,C.S. Lewis,4.22,2346711,1590,Paperback,206,2005,English,Fantasy
830502,It,,3389,Stephen King,4.24,902529,1467,Paperback,1116,1987,English,Horror
343,Perfume: The Story of a Murderer,,39402,Patrick Süskind,4.02,382224,1432,Paperback,263,1987,English,Fiction
6339664,"Hush, Hush","Hush, Hush",2876763,Becca Fitzpatrick,3.94,639150,1391,Hardcover,391,2009,English,Young Adult
5907,"The Hobbit, or There and Back Again",,656983,J.R.R. Tolkien,4.28,3205468,1485,Paperback,366,2002,English,Fantasy
38709,Holes,Holes,6569,Louis Sachar,3.98,1054690,1486,Paperback,233,2000,English,Young Adult
233093,The Cat in the Hat,The Cat in the Hat,61105,Dr. Seuss,4.16,478527,1530,Hardcover,61,1985,English,Childrens
30165203,American Gods,American Gods,1221698,Neil Gaiman,4.1,825525,1402,Kindle Edition,635,2011,English,Fantasy
256008,Lonesome Dove,Lonesome Dove,1055,Larry McMurtry,4.48,165269,1370,Paperback,960,1999,English,Fiction
472331,Watchmen,,3961,Alan Moore,4.37,511883,1364,Paperback,416,2005,English,Sequential Art
58572970,The Addiction Manifesto,,15075919,Jerry Weaver,4.97,548,1196,Paperback,178,2021,English,Nonfiction
6656,The Divine Comedy,,5031312,Dante Alighieri,4.04,135112,1414,Hardcover,798,1995,English,Poetry
5470,1984,,3706,George Orwell,4.19,3591279,1339,Mass Market Paperback,328,1950,English,Classics
114345,The Little House Collection,Little House,5300,Laura Ingalls Wilder,4.34,147229,1407,Paperback,2700,2003,English,Classics
34268,Peter Pan,,5255014,J.M. Barrie,4.02,315093,1455,Hardcover,176,2003,English,Classics
355697,All Quiet on the Western Front,,4116,Erich Maria Remarque,4.0,380030,1374,Mass Market Paperback,296,1987,English,Classics
9712,Love in the Time of Cholera,,13450,Gabriel García Márquez,3.92,447381,1290,Paperback,348,2003,English,Fiction
1423,The Compleat Works of Wllm Shkspr,,4390174,Reduced Shakespeare Company,4.44,8675,1245,Hardcover,137,1994,English,Plays
11735983,Insurgent,Divergent,4039811,Veronica Roth,4.0,1291847,1232,Hardcover,525,2012,English,Young Adult
3412,The Thorn Birds,,4917067,Colleen McCullough,4.22,332877,1306,Mass Market Paperback,692,2002,English,Fiction
35545737,A Walk to Remember,,2345,Nicholas Sparks,4.18,724928,1249,Kindle Edition,215,2000,English,Romance
2802316,Shadow Kiss,Vampire Academy,137902,Richelle Mead,4.32,352825,1187,Paperback,443,2008,English,Young Adult
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",,1654,Terry Pratchett,4.23,612483,1163,Mass Market Paperback,491,2006,English,Fantasy
113946,How the Grinch Stole Christmas!,,61105,Dr. Seuss,4.34,364796,1306,Hardcover,64,2004,English,Childrens
92303,The Importance of Being Earnest,,3565,Oscar Wilde,4.17,325471,1248,Paperback,76,2005,English,Classics
13,The Ultimate Hitchhiker's Guide to the Galaxy,Hitchhiker's Guide to the Galaxy,4,Douglas Adams,4.35,306705,1180,Paperback,815,2002,English,Science Fiction
37415,Their Eyes Were Watching God,,15151,Zora Neale Hurston,3.96,292090,1157,Paperback,219,2006,English,Academic
19501,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",,11679,Elizabeth Gilbert,3.59,1584265,1154,Paperback,368,2007,English,Nonfiction
6867,Atonement,,2408,Ian McEwan,3.91,472555,1181,Paperback,351,2003,English,Fiction
7190,The Three Musketeers,The D'Artagnan Romances,4785,Alexandre Dumas,4.07,292596,1228,Paperback,625,2001,English,Classics
236093,The Wonderful Wizard of Oz,Oz,3242,L. Frank Baum,3.97,409171,1279,Paperback,154,1995,English,Classics
2282133,Frostbite,Vampire Academy,137902,Richelle Mead,4.24,339195,1095,Paperback,327,2008,English,Young Adult
18335634,Clockwork Princess,The Infernal Devices,150038,Cassandra Clare,4.54,394488,1073,Paperback,567,2013,English,Fantasy
32929,Goodnight Moon,,18479,Margaret Wise Brown,4.28,332872,1193,Hardcover,32,2007,English,Childrens
2120932,The Battle of the Labyrinth,Percy Jackson and the Olympians,15872,Rick Riordan,4.39,848332,1127,Hardcover,361,2008,English,Fantasy
7784,The Lorax,,61105,Dr. Seuss,4.32,311599,1159,Hardcover,72,1998,English,Childrens
561456,The Titan's Curse,Percy Jackson and the Olympians,15872,Rick Riordan,4.34,800143,1115,Paperback,320,2007,English,Fantasy
1622,A Midsummer Night's Dream,,947,William Shakespeare,3.95,475519,1206,Paperback,240,2016,English,Classics
5996153,Blood Promise,Vampire Academy,137902,Richelle Mead,4.29,302615,1045,Hardcover,503,2009,English,Young Adult
32261,Tess of the D'Urbervilles,,15905,Thomas Hardy,3.81,252905,1121,Paperback,518,2003,English,Classics
28186,The Sea of Monsters,Percy Jackson and the Olympians,15872,Rick Riordan,4.24,873303,1090,Hardcover,279,2006,English,Fantasy
4900,Heart of Darkness,,3345,Joseph Conrad,3.44,457163,1114,Paperback,188,2003,English,Classics
1078,The Good Earth,House of Earth,704,Pearl S. Buck,3.99,233472,1085,Paperback,418,2009,English,Classics
2547,The Prophet,,6466154,Kahlil Gibran,4.21,260211,1067,Paperback,127,1923,English,Poetry
40605251,The Mists of Avalon,Avalon,4841825,Marion Zimmer Bradley,4.11,202150,1024,Kindle Edition,1009,2001,English,Fantasy
6186357,The Maze Runner,The Maze Runner,348878,James Dashner,4.03,1216813,992,Hardcover,384,2009,English,Young Adult
7938275,The Hunger Games Trilogy Boxset,The Hunger Games,153394,Suzanne Collins,4.48,198646,1007,Hardcover,1155,2010,English,Young Adult
1852,The Call of the Wild,,1240,Jack London,3.88,372685,1108,Mass Market Paperback,172,2001,English,Classics
13023,Alice in Wonderland,,34933,Jane Carruth,4.02,389237,1108,Hardcover,92,2004,English,Classics
7763,The Joy Luck Club,,5246,Amy Tan,3.94,628211,1065,Paperback,352,2006,English,Fiction
40940121,Bridge to Terabithia,,1949,Katherine Paterson,4.01,488606,1068,Kindle Edition,190,2009,English,Fiction
71728,Jonathan Livingston Seagull,,16904,Richard Bach,3.85,221500,1014,Paperback,112,2006,English,Fiction
378,The Phantom Tollbooth,,214,Norton Juster,4.16,270903,971,Paperback,248,1996,English,Fantasy
2175,Madame Bovary,,1461,Gustave Flaubert,3.69,280572,1033,Paperback,329,2004,French,Classics
18254,Oliver Twist,,239579,Charles Dickens,3.87,345785,1107,Paperback,608,2003,English,Classics
27712,The Neverending Story,,15619,Michael Ende,4.15,184415,988,Hardcover,396,1997,English,Fantasy
191139,"Oh, the Places You'll Go!",,61105,Dr. Seuss,4.33,361748,1033,Hardcover,44,1990,English,Childrens
5060378,The Girl Who Played with Fire,Millennium,706255,Stieg Larsson,4.24,861496,1009,Hardcover,503,2009,English,Fiction
295,Treasure Island,,854076,Robert Louis Stevenson,3.84,434396,1083,Hardcover,311,2001,English,Classics
338798,Ulysses,,5144,James Joyce,3.73,118435,945,Paperback,783,1990,English,Classics
10818853,Fifty Shades of Grey,Fifty Shades,4725841,E.L. James,3.66,2160872,879,Paperback,356,2011,English,Romance
62291,A Storm of Swords,A Song of Ice and Fire,346732,George R.R. Martin,4.53,704005,899,Mass Market Paperback,1177,2003,English,Fantasy
40611463,The Clan of the Cave Bear,Earth's Children,861,Jean M. Auel,4.07,243807,944,Kindle Edition,516,2016,English,Historical
853510,Murder on the Orient Express,Hercule Poirot,123715,Agatha Christie,4.18,457091,985,Paperback,274,2007,English,Mystery
2696,The Canterbury Tales,,1838,Geoffrey Chaucer,3.52,202916,1002,Paperback,521,2003,English,Classics
7069,The World According to Garp,,3075,John Irving,4.09,212554,930,Hardcover,610,1999,English,Fiction
10799,A Farewell to Arms,,1455,Ernest Hemingway,3.81,281967,957,Paperback,293,2004,English,Classics
58696,David Copperfield,,239579,Charles Dickens,4.01,210761,972,Paperback,882,2004,English,Classics
7896527,Throne of Glass,Throne of Glass,3433047,Sarah J. Maas,4.18,759142,813,Hardcover,406,2012,English,Fantasy
29844228,Thirteen Reasons Why,,569269,Jay Asher,3.88,850082,830,Hardcover,352,2016,English,Young Adult
6148028,Catching Fire,The Hunger Games,153394,Suzanne Collins,4.3,2827821,879,Hardcover,391,2009,English,Young Adult
39999,The Boy in the Striped Pajamas,,7195,John Boyne,4.15,618259,894,Hardcover,240,2006,English,Historical
10507293,The Selection,The Selection,2987125,Kiera Cass,4.11,1128566,812,Hardcover,336,2012,English,Young Adult
37442,Wicked: The Life and Times of the Wicked Witch of the West,The Wicked Years,7025,Gregory Maguire,3.54,586639,868,Paperback,406,2000,English,Fantasy
9361589,The Night Circus,,4370565,Erin Morgenstern,4.03,786897,812,Hardcover,528,2011,English,Fantasy
40604658,Jurassic Park,Jurassic Park,5194,Michael Crichton,4.06,853722,884,Kindle Edition,466,2012,English,Science Fiction
3008,A Little Princess,,2041,Frances Hodgson Burnett,4.2,286499,901,Paperback,242,2002,English,Classics
18116,His Dark Materials,His Dark Materials,3618,Philip Pullman,4.26,154849,819,Mass Market Paperback,1088,2003,English,Fantasy
52382796,Shōgun,,6417,James Clavell,4.39,157986,855,Paperback,1152,2020,,Historical
4588,Extremely Loud & Incredibly Close,,2617,Jonathan Safran Foer,3.96,404774,786,Paperback,326,2006,English,Fiction
375013,Schindler's List,,6900,Thomas Keneally,4.31,156587,904,Paperback,429,1994,English,History
7736182,The Lost Hero,The Heroes of Olympus,15872,Rick Riordan,4.31,708967,819,Hardcover,576,2010,English,Fantasy
6149,Beloved,,3534,Toni Morrison,3.9,358724,838,Paperback,324,2004,English,Fiction
37470,The Other Boleyn Girl,The Plantagenet and Tudor Novels,9987,Philippa Gregory,4.07,475810,829,Paperback,661,2003,English,Historical
6527740,Last Sacrifice,Vampire Academy,137902,Richelle Mead,4.36,276166,783,Hardcover,594,2010,English,Young Adult
6487308,Fallen,Fallen,2905297,Lauren Kate,3.72,542703,768,Hardcover,452,2009,English,Young Adult
7332,The Silmarillion,,656983,J.R.R. Tolkien,3.94,241727,800,Hardcover,386,2004,English,Fantasy
514811,The Secret Magdalene,,286014,Ki Longfellow,4.11,4797,675,Hardcover,448,2007,English,Historical
17690,The Trial,,5223,Franz Kafka,3.95,263418,804,Paperback,255,2001,English,Classics
144974,The Velveteen Rabbit,,83846,Margery Williams Bianco,4.26,241924,867,Paperback,40,1987,English,Classics
310612,A Confederacy of Dunces,,3049,John Kennedy Toole,3.88,247534,739,Paperback,394,1994,English,Fiction
10025305,Clockwork Prince,The Infernal Devices,150038,Cassandra Clare,4.41,500101,753,Hardcover,498,2011,English,Fantasy
3876,The Sun Also Rises,,1455,Ernest Hemingway,3.81,385867,810,Paperback,189,1957,English,Classics
1375,The Iliad/The Odyssey,,903,Homer,4.05,67263,831,Paperback,1556,1999,English,Classics
6479259,Spirit Bound,Vampire Academy,137902,Richelle Mead,4.31,282094,735,Hardcover,489,2010,English,Young Adult
36381037,Cinder,The Lunar Chronicles,4684322,Marissa Meyer,4.13,782410,711,Hardcover,400,2012,English,Young Adult
17250,The Crucible,,8120,Arthur  Miller,3.6,353759,820,Paperback,143,2003,English,Classics
4069,Man's Search for Meaning,,2782,Viktor E. Frankl,4.35,504535,706,Paperback,165,2006,English,Nonfiction
135479,Cat's Cradle,,2778055,Kurt Vonnegut Jr.,4.16,358683,739,Paperback,179,1999,English,Fiction
9777,The God of Small Things,,6134,Arundhati Roy,3.94,264396,709,Hardcover,321,1997,English,Fiction
23807,The Silence of the Lambs ,Hannibal Lecter,12455,Thomas  Harris,4.21,511109,777,Paperback,421,2002,English,Horror
5659,The Wind in the Willows,,3843,Kenneth Grahame,3.98,193798,797,Paperback,197,2005,English,Classics
8130077,The Screwtape Letters,,1069006,C.S. Lewis,4.23,368137,732,Kindle Edition,228,1942,English,Fiction
48855,The Diary of a Young Girl,,3720,Anne Frank,4.16,3084075,758,Mass Market Paperback,283,1993,English,Nonfiction
561909,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,,102203,Corrie ten Boom,4.41,287361,702,Paperback,242,1984,English,Nonfiction
30118,A Light in the Attic,,435477,Shel Silverstein,4.33,404520,779,Hardcover,176,2002,English,Poetry
2865,Girl with a Pearl Earring,,1973,Tracy Chevalier,3.91,669269,766,Paperback,233,2005,English,Historical
6752378,City of Fallen Angels,The Mortal Instruments,150038,Cassandra Clare,4.09,540514,725,Hardcover,425,2011,English,Fantasy
